ISBN	LCCN	NLMCN	Classification	Source	Date Added
9780203796900	HC427.92 .W3791613 2014		HC	Library of Congress	2026/03/07
9780203797150	HC427.92 .L675213 2014		HC	Library of Congress	2026/03/07
9780486474175	QA162 .P56 2010		QA	Library of Congress	2026/03/07
9780521616287	RA483 .B25 1999		RA	OpenLibrary	2026/03/07
9781461482437	RC269.5 .M478 2014		RC	Library of Congress	2026/03/07
9781461494089	QK653 .F584 2014		QK	Library of Congress	2026/03/07
9782707323279	N67 .D49 2013		N	Library of Congress	2026/03/07
9788878204089	ML290.8.M36 C45 2013		ML	Library of Congress	2026/03/07
9789600223088	RA503 .H97 2009		RA	OpenLibrary	2026/03/07
