ISBN	LCCN	LCCN Source	Classification	NLM	NLM Source	Date
130615622X	TP155.2.E58 M36 2013	metacoll	TP			2026-04-10 11:49:15
111962858X	RE75 .L44 2021	metacoll	RE	WW 39 L533m 2021	metacoll	2026-04-10 11:49:15
1119418682	TK3001 .R385 2024	metacoll	TK			2026-04-10 11:49:15
9781789450781	TA357.5.F58	metacoll	TA			2026-04-10 11:49:15
1119794242	TK2699 .W36 2024	metacoll	TK			2026-04-10 11:49:15
1394188846	QP671.F52	metacoll	QP			2026-04-10 11:49:15
1119762561	TL574.U5 D56 2024	metacoll	TL			2026-04-10 11:49:15
1394200633	SF745 .W66 2024	metacoll	SF	SF 745	metacoll	2026-04-10 11:49:15
1119686008	TP159.M4 B35 2024	metacoll	TP			2026-04-10 11:49:15
1394236425	TJ820 .E44 2023	metacoll	TJ			2026-04-10 11:49:15
1119651522	PR8511	metacoll	PR			2026-04-10 11:49:15
1119760305	SF911 .H65 2024	metacoll	SF	SF 911	metacoll	2026-04-10 11:49:15
1119868734	SD356.4	metacoll	SD			2026-04-10 11:49:15
1394190026	Q335 .M544 2024	metacoll	Q			2026-04-10 11:49:15
1394188501	QA267 .Z43 2024	metacoll	QA			2026-04-10 11:49:15
139419854X	RC489.B4 D79 2024	metacoll	RC	WM 420.5.P8	metacoll	2026-04-10 11:49:15
1119830338	RK450.P4 P73 2024	metacoll	RK	WU 241	metacoll	2026-04-10 11:49:15
3527841660	TK2945.S62 S63 2024	metacoll	TK			2026-04-10 11:49:15
3527838740	QD169.C5 K65 2024	metacoll	QD			2026-04-10 11:49:15
111985718X	TH4811 .T73 2024	metacoll	TH			2026-04-10 11:49:15
111990837X	SF780.2 .R93 2024	metacoll	SF	QW 70	metacoll	2026-04-10 11:49:15
1119984874	TL589.2.F5 M38 2024	metacoll	TL			2026-04-10 11:49:15
111971219X	H61.3 .S87 2024	metacoll	H			2026-04-10 11:49:15
1394178395	TK7887.6 .C46 2024	metacoll	TK			2026-04-10 11:49:15
9781119784319	TK5103.25 .F36 2024	metacoll	TK			2026-04-10 11:49:15
1394194366	TK2541 .Z48 2024	metacoll	TK			2026-04-10 11:49:15
1119910579	QP105 .C45 2024	metacoll	QP			2026-04-10 11:49:15
1119823749	RC256 .C36 2024	metacoll	RC			2026-04-10 11:49:15
3527839003	QP517.B53	metacoll	QP			2026-04-10 11:49:15
3527832467	TJ165	metacoll	TJ			2026-04-10 11:49:15
1394172885	TP339	metacoll	TP			2026-04-10 11:49:15
1394255659	P90	metacoll	P			2026-04-10 11:49:15
1394166966	R857.M3 A38 2024	metacoll	R			2026-04-10 11:49:15
1394210620	TK6553 .H347 2024	metacoll	TK			2026-04-10 11:49:15
3527347275	TA684 .J53 2024	metacoll	TA			2026-04-10 11:49:15
