ISBN	LCCN	LCCN Source	Classification	NLM	NLM Source	Date
9781009119313	Z106.5.G72 E549 2022	ma	Z			2026-04-10 10:30:38
9781898823629	DS881.3 .C85 2018	ma	DS			2026-04-10 10:30:38
9781846154010	PT7170 .R67 2005	ma	PT			2026-04-10 10:30:38
9781009025676	PS3554.E4425 Z648 2022	ma	PS			2026-04-10 10:30:38
9781898823995	DS885.5.N37 A3 2019	ma	DS			2026-04-10 10:30:38
9789048552023	PQ4080 .G53 2022	ma	PQ			2026-04-10 10:30:38
9781802700213	BL945 .P36 2022	ma	BL			2026-04-10 10:30:38
9781009072670	R126.G8 G35 2022	ma	R			2026-04-10 10:30:38
9781800104471	D111 .H38 2021	ma	D			2026-04-10 10:30:38
9781800103504	ML945 .C53 2021	ma	ML			2026-04-10 10:30:38
9781898823520	DS832.7.B74 K3613 2017	ma	DS			2026-04-10 10:30:38
9781785278020	GV1588.3 .F726 2022	ma	GV			2026-04-10 10:30:38
9781447361213	JC479 .P54 2021	ma	JC			2026-04-10 10:30:38
9781009118873	BL1215.P65 S24 2022	ma	BL			2026-04-10 10:30:38
9781776147496	RJ502.S6 P47 2022	ma	RJ			2026-04-10 10:30:38
9789048535118	P301.3.I73 S76 2022	ma	P			2026-04-10 10:30:38
9781800102095	HQ799.2.M352 A359 2021	ma	HQ			2026-04-10 10:30:38
9781009221054	BF1622.F7 C67 2022	ma	BF			2026-04-10 10:30:38
9781009072458	RC552.P67 H56 2022	ma	RC			2026-04-10 10:30:38
9781898823704	DS849.G4 K83 2018	ma	DS			2026-04-10 10:30:38
9781776147250	GN58.S64 M67 2022	ma	GN			2026-04-10 10:30:38
9781529210989	JZ1242 .J67 2022	ma	JZ			2026-04-10 10:30:38
9781839981982	LB2331 .K43 2022	ma	LB			2026-04-10 10:30:38
9781839980466	HV1568 .D46 2022	ma	HV			2026-04-10 10:30:38
9781839980947	B3376.W564 T45 2022	ma	B			2026-04-10 10:30:38
9781912961153	DS822.5 .B75 2020	ma	DS			2026-04-10 10:30:38
9781800104273	KZ6535.A61954 S24 2022	ma	KZ			2026-04-10 10:30:38
9781898823803	DS809 .B59413 2020	ma	DS			2026-04-10 10:30:38
9781787440555	BT840 .R483 2017	ma	BT			2026-04-10 10:30:38
9781447358350	HV11.8.E85 I68 2022	ma	HV			2026-04-10 10:30:38
9781009029704	QA269 .S65 2022	ma	QA			2026-04-10 10:30:38
9781800102149	PT2359.H2 A856 2021	ma	PT			2026-04-10 10:30:38
9781782045267	GV1145 .L43 2015	ma	GV			2026-04-10 10:30:38
9781009049818	KJE5461 .R47 2022	ma	KJE			2026-04-10 10:30:38
9781800105041	ML410.W19 O86 2022	ma	ML			2026-04-10 10:30:38
9781800104884	PN661 .N48 2022	ma	PN			2026-04-10 10:30:38
9781009037013	B2798 .C37 2022	ma	B			2026-04-10 10:30:38
9781108567251	K133 .G56 2022	ma	K			2026-04-10 10:30:38
9781800101791	PQ7797.B635 Z9184 2021	ma	PQ			2026-04-10 10:30:38
9781447362494	HV8665 .C69 2022	ma	HV			2026-04-10 10:30:38
9781009181518	HV640.5.S97 H366 2022	ma	HV			2026-04-10 10:30:38
9781912961177	DA565.P14 M67 2021	ma	DA			2026-04-10 10:30:38
9781800103993	V55.G7 R43 2022	ma	V			2026-04-10 10:30:38
9781009222990	PR3312.P53 T69 2022	ma	PR			2026-04-10 10:30:38
9781782047117	DK508.935 .B57 2016	ma	DK			2026-04-10 10:30:38
9781800104983	JC71.P6 A8535 2022	ma	JC			2026-04-10 10:30:38
9781108554947	K3870.A6 C6566 2016	ma	K			2026-04-10 10:30:38
9781009002066	HD57.7 .H37 2022	ma	HD			2026-04-10 10:30:38
9781108933216	KNC575.5.G39 L36 2022	ma	KNC			2026-04-10 10:30:38
9781529217445	HN400.C6 H48 2021	ma	HN			2026-04-10 10:30:38
9781898823896	LA2383.J3 T64 2021	ma	LA			2026-04-10 10:30:38
9781912961207	HE3355 .L44 2011	ma	HE			2026-04-10 10:30:38
9781800105331	PQ8180.17.A73 Z95 2010	ma	PQ			2026-04-10 10:30:38
9781108768450	QP408 .E96 2022	ma	QP			2026-04-10 10:30:38
9781529207712	JZ4850 .C67 2021	ma	JZ			2026-04-10 10:30:38
9781108807951	P241 .M5985 2022	ma	P			2026-04-10 10:30:38
9781108688253	H61 .C273 2022	ma	H			2026-04-10 10:30:38
9781447359531	HD87 .C43 2021	ma	HD			2026-04-10 10:30:38
9781782045984	PR328 .H38 2015	ma	PR			2026-04-10 10:30:38
9781009165877	GE170 .M368 2022	ma	GE			2026-04-10 10:30:38
9781009151405	HD7091 .I94 2022	ma	HD			2026-04-10 10:30:38
9781785277566	PK2169 .Y36 2022	ma	PK			2026-04-10 10:30:38
9781776147410	DT1756 .G37 2022	ma	DT			2026-04-10 10:30:38
9781800104563	U810 .M64 2022	ma	U			2026-04-10 10:30:38
9781009211840	HQ799.8.A35 L67 2022	ma	HQ			2026-04-10 10:30:38
9781898823728	DS891 .M36 2018	ma	DS			2026-04-10 10:30:38
9781108633062	DS63.123 .A55 2022	ma	DS			2026-04-10 10:30:38
9781782047704	DA225 .F68 2016	ma	DA			2026-04-10 10:30:38
9781108582865	JC575 .A76 2022	ma	JC			2026-04-10 10:30:38
9781800103573	PQ7082.P7 C56 2022	ma	PQ			2026-04-10 10:30:38
9781009085687	KK5057 .G47 2022	ma	KK			2026-04-10 10:30:38
9781009042765	K3249 .L46 2021	ma	K			2026-04-10 10:30:38
9781009159364	KF3319 .G68 2022	ma	KF			2026-04-10 10:30:38
9781009109413	BJ1012 .M67 2022	ma	BJ			2026-04-10 10:30:38
9789048551644	B2430.B33954 S83 2022	ma	B			2026-04-10 10:30:38
