Call Number Type	ISBN	Target	Date Attempted	Reason
LCCN	9780000901170	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901170	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901187	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901187	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901194	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901194	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780001011427	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780001011427	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780001982925	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780001982925	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002005531	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002005531	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002005647	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002005647	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002006057	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002006057	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002006071	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002006071	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002006101	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002006101	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002006262	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002006262	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002006699	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002006699	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002007603	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002007603	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002007818	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002007818	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780002008310	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780002008310	Library of Congress	2026-04-10	No records found in Library of Congress.
