Call Number Type	ISBN	Target	Date Attempted	Reason
LCCN	9780203796900	UCB	2026-04-10	No records found in UCB.
LCCN	9780203796900	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9780203797150	UCB	2026-04-10	No records found in UCB.
LCCN	9780203797150	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9780984314515	UCB	2026-04-10	No records found in UCB.
LCCN	9780984314515	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9780271007410	UCB	2026-04-10	No records found in UCB.
LCCN	9780486474175	UCB	2026-04-10	No records found in UCB.
LCCN	9780521616287	UCB	2026-04-10	No records found in UCB.
LCCN	9780826608437	UCB	2026-04-10	No records found in UCB.
LCCN	9780826608437	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9780989055406	UCB	2026-04-10	No records found in UCB.
LCCN	9780989055406	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9781461482437	UCB	2026-04-10	Record found but no LCCN field
LCCN	9781461494089	UCB	2026-04-10	Record found but no LCCN field
LCCN	9781558628	UCB	2026-04-10	No records found in UCB.
LCCN	9781558628	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9781933967332	UCB	2026-04-10	No records found in UCB.
LCCN	9781933967332	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9781118727997	UCB	2026-04-10	No records found in UCB.
LCCN	9782296139015	UCB	2026-04-10	No records found in UCB.
LCCN	9782296139015	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9782707323279	UCB	2026-04-10	No records found in UCB.
LCCN	9782707323279	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9786022042358	UCB	2026-04-10	Record found but no LCCN field
LCCN	9786022042358	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9787544912358	UCB	2026-04-10	No records found in UCB.
LCCN	9787544912358	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9788498165821	UCB	2026-04-10	No records found in UCB.
LCCN	9788498165821	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9788849211849	UCB	2026-04-10	No records found in UCB.
LCCN	9788849211849	UAlberta	2026-04-10	No records found in UAlberta.
LCCN	9788849211856	UCB	2026-04-10	No records found in UCB.
LCCN	9788849211856	UAlberta	2026-04-10	No records found in UAlberta.
