Call Number Type	ISBN	Target	Date Attempted	Reason
LCCN	9780984314515	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780984314515	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780989055406	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780989055406	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9781558628	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9781558628	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9782296139015	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9782296139015	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9786022042358	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9786022042358	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9788498165821	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788498165821	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9788849211849	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788849211849	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9788849211856	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788849211856	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9788876181320	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788876181320	Library of Congress	2026-04-10	No records found in Library of Congress.
