ISBN	LCCN	LCCN Source	Classification	Date
9780203796900	HC427.92.W379 2014eb	OpenLibrary	HC	2026-04-10
9780203797150	HC427.92.L675 2014eb	OpenLibrary	HC	2026-04-10
9780271007410	PQ6353 .Z56 1991	OpenLibrary	PQ	2026-04-10
9780486474175	QA162 .P56 2010	OpenLibrary	QA	2026-04-10
9780521616287	RA483 .B25 1999	OpenLibrary	RA	2026-04-10
9780826608437	BJ1012 .C69 2014	OpenLibrary	BJ	2026-04-10
9781461482437	RC269.5 .M478 2014	OpenLibrary	RC	2026-04-10
9781461494089	QK653 .F584 2014	OpenLibrary	QK	2026-04-10
9781933967332	PS3623.I55835 M48 2008	OpenLibrary	PS	2026-04-10
9781118727997	HF5386	OpenLibrary	HF	2026-04-10
9782707323279	N67 .D49 2013	OpenLibrary	N	2026-04-10
9787544912358	PN6519.K6 C562 2010	OpenLibrary	PN	2026-04-10
9788878204089	ML290.8.M36 C45 2013	OpenLibrary	ML	2026-04-10
9789600223088	RA503 .H97 2009	OpenLibrary	RA	2026-04-10
9789637043253	PH3382.24.E57 E58 2007	OpenLibrary	PH	2026-04-10
9789638747228	TG95.D35 G9813 2010	OpenLibrary	TG	2026-04-10
9789995738228	PJ6891.9.G73 G46 2013	OpenLibrary	PJ	2026-04-10
9780000000002	PR6045.A97 Z62	UCB	PR	2026-04-10
9780000004567	PQ8098.428.I68 P6 2003	OpenLibrary	PQ	2026-04-10
9780000010001	TN270 .M665 1980	UCB	TN	2026-04-10
9780000020017	R856 .J68 2008	UCB	R	2026-04-10
9780000020055	R856 .J685 2010	UCB	R	2026-04-10
9780000020130	R856.A1 J6813 2012	UCB	R	2026-04-10
9780000020147	R856.A1 J67514 2012	UCB	R	2026-04-10
9780000020154	R856 .J6815 2012	UCB	R	2026-04-10
9780000020161	R856 .J6816 2012	UCB	R	2026-04-10
9780000020185	R856.A1 .J687 2013	UCB	R	2026-04-10
9780000020208	R856.A1 .J687 2014	UCB	R	2026-04-10
9780000021021	T174.7 .J6775 2008	UCB	T	2026-04-10
9780000021038	T174.7 .J683 2008	UCB	T	2026-04-10
9780000021175	T174.7 .J6817 2012	UCB	T	2026-04-10
9780000021182	T174.7 .J681819 2012	UCB	T	2026-04-10
9780000021205	T174.7 .J6820 2012	UCB	T	2026-04-10
9780000021243	T174.7 .J68 2013	UCB	T	2026-04-10
9780000021250	T174.7 .J68 2013	UCB	T	2026-04-10
9780000021281	T174.7 .J687 2014	UCB	T	2026-04-10
9780000022011	T177.A35 I581 2010	UCB	T	2026-04-10
9780000022073	T177.A35 I587 2012	UCB	T	2026-04-10
9780000022080	T177.A35 I588 2012	UCB	T	2026-04-10
9780000022110	TA160.6.A35 I58 2014	UCB	TA	2026-04-10
9780000022127	JX1977 .J687 2014	UCB	JX	2026-04-10
9780000023018	T174.7 .N361 2012	UCB	T	2026-04-10
9780000023025	T174.7 .N362 2012	UCB	T	2026-04-10
9780000023032	T174.7 .N363 2013	UCB	T	2026-04-10
9780000023049	T174.7 N364 2013	UCB	T	2026-04-10
9780000023056	T174.7 .N36 2013	UCB	T	2026-04-10
9780000023070	T174.7 .N366 2014	UCB	T	2026-04-10
9780000033963	DP802.A74 F66 2002	OpenLibrary	DP	2026-04-10
9780000039040	JV8268 .I555 2005	OpenLibrary	JV	2026-04-10
9780000107688	DS95.6.L4 S58 2009	OpenLibrary	DS	2026-04-10
